DateSim,Tambon_ID,Tambon,Amphoe_ID,Amphoe,Province_ID,Province,DateForecast,Rainfall,Watersupply,Reservoir,WaterDemand,WaterBalance,DroughtIndex,RunoffIndex
01/01/2020,501203,ท่าวังพร้าว,5012,สันป่าตอง,50,เชียงใหม่,Forecastmon01,77.47187,30.6664,100.0,494.0182,463.3517,0,0
01/01/2020,501204,มะขามหลวง,5012,สันป่าตอง,50,เชียงใหม่,Forecastmon01,97.517,0.0219,100.0,192.6744,192.65249999999997,0,0
01/01/2020,501205,แม่ก๊า,5012,สันป่าตอง,50,เชียงใหม่,Forecastmon01,76.388336,71.1743,100.0,276.0574,204.883,0,0
01/01/2020,501206,บ้านแม,5012,สันป่าตอง,50,เชียงใหม่,Forecastmon01,79.86053,40.052,100.0,1279.6949,1239.6428,0,0
01/01/2020,501207,บ้านกลาง,5012,สันป่าตอง,50,เชียงใหม่,Forecastmon01,81.2642,0.334,100.0,96.7464,96.4124,0,0
01/01/2020,501208,ทุ่งสะโตก,5012,สันป่าตอง,50,เชียงใหม่,Forecastmon01,78.82625,10.719100000000001,100.0,482.9207,472.2018,0,0
01/01/2020,501214,น้ำบ่อหลวง,5012,สันป่าตอง,50,เชียงใหม่,Forecastmon01,89.680824,0.2632,100.0,1345.9121,1345.6489000000001,0,0
01/01/2020,501215,มะขุนหวาน,5012,สันป่าตอง,50,เชียงใหม่,Forecastmon01,81.2642,0.2025,100.0,561.3282,561.1257,0,0
01/01/2020,501301,สันกำแพง,5013,สันกำแพง,50,เชียงใหม่,Forecastmon01,78.0136,44.9071,100.0,872.6971,827.7904,0,0
01/01/2020,501302,ทรายมูล,5013,สันกำแพง,50,เชียงใหม่,Forecastmon01,97.517,0.0559,100.0,153.2272,153.1713,0,0
01/01/2020,501303,ร้องวัวแดง,5013,สันกำแพง,50,เชียงใหม่,Forecastmon01,85.44348,0.31429999999999997,100.0,830.4274,830.1132,0,0
01/01/2020,501304,บวกค้าง,5013,สันกำแพง,50,เชียงใหม่,Forecastmon01,81.2642,0.1902,100.0,78.7412,78.551,0,0
01/01/2020,501305,แช่ช้าง,5013,สันกำแพง,50,เชียงใหม่,Forecastmon01,91.422195,0.2682,100.0,684.9164000000001,684.6481,0,0
01/01/2020,501306,ออนใต้,5013,สันกำแพง,50,เชียงใหม่,Forecastmon01,86.5915,2.2165999999999997,100.0,775.9375,773.7208,0,0
01/01/2020,501310,แม่ปูคา,5013,สันกำแพง,50,เชียงใหม่,Forecastmon01,62.302532,2.1694,100.0,75.77279999999999,73.6034,0,0
01/01/2020,501311,ห้วยทราย,5013,สันกำแพง,50,เชียงใหม่,Forecastmon01,87.765305,0.08539999999999999,100.0,292.3384,292.2531,0,0
01/01/2020,501313,สันกลาง,5013,สันกำแพง,50,เชียงใหม่,Forecastmon01,81.2642,4.594,100.0,494.54769999999996,489.9537,0,0
01/01/2020,501401,สันทรายหลวง,5014,สันทราย,50,เชียงใหม่,Forecastmon01,82.425095,0.2514,100.0,297.653,297.40160000000003,0,0
01/01/2020,501402,สันทรายน้อย,5014,สันทราย,50,เชียงใหม่,Forecastmon01,82.88946,4.9088,100.0,377.3732,372.4642,0,0
01/01/2020,501403,สันพระเนตร,5014,สันทราย,50,เชียงใหม่,Forecastmon01,97.517,0.059,100.0,73.2576,73.1986,0,0
01/01/2020,501404,สันนาเม็ง,5014,สันทราย,50,เชียงใหม่,Forecastmon01,80.9546,8.1386,100.0,448.8184,440.6798,0,0
01/01/2020,501405,สันป่าเปา,5014,สันทราย,50,เชียงใหม่,Forecastmon01,83.586,0.1713,100.0,175.432,175.2607,0,0
01/01/2020,501406,หนองแหย่ง,5014,สันทราย,50,เชียงใหม่,Forecastmon01,79.6733,7.5409999999999995,100.0,1618.3496,1610.8085,0,0
01/01/2020,501407,หนองจ๊อม,5014,สันทราย,50,เชียงใหม่,Forecastmon01,86.6818,0.3303,100.0,276.0543,275.72400000000005,0,0
01/01/2020,501408,หนองหาร,5014,สันทราย,50,เชียงใหม่,Forecastmon01,85.3274,0.0605,100.0,165.31810000000002,165.2577,0,0
01/01/2020,501409,แม่แฝก,5014,สันทราย,50,เชียงใหม่,Forecastmon01,89.342224,67.2707,100.0,1366.5521,1299.2816,0,0
01/01/2020,501410,แม่แฝกใหม่,5014,สันทราย,50,เชียงใหม่,Forecastmon01,79.9098,34.3867,100.0,615.1324999999999,580.7460000000001,0,0
01/01/2020,501411,เมืองเล็น,5014,สันทราย,50,เชียงใหม่,Forecastmon01,83.2958,0.060899999999999996,100.0,270.6495,270.5885,0,0
01/01/2020,501412,ป่าไผ่,5014,สันทราย,50,เชียงใหม่,Forecastmon01,86.527,0.32899999999999996,100.0,792.3129,791.9839000000001,0,0
01/01/2020,501501,หางดง,5015,หางดง,50,เชียงใหม่,Forecastmon01,92.099396,2.5439,100.0,591.5517,589.0079000000001,0,0
01/01/2020,501502,หนองแก๋ว,5015,หางดง,50,เชียงใหม่,Forecastmon01,80.61408,0.6487,100.0,431.02880000000005,430.3801,0,0
01/01/2020,501503,หารแก้ว,5015,หางดง,50,เชียงใหม่,Forecastmon01,80.892685,3.9568,100.0,754.1057,750.1487,0,0
01/01/2020,501504,หนองตอง,5015,หางดง,50,เชียงใหม่,Forecastmon01,74.76307,3.9237,100.0,404.4356,400.5118,0,0
01/01/2020,501505,ขุนคง,5015,หางดง,50,เชียงใหม่,Forecastmon01,92.099396,1.0291,100.0,476.5419,475.51279999999997,0,0
01/01/2020,501506,สบแม่ข่า,5015,หางดง,50,เชียงใหม่,Forecastmon01,77.201004,1.5718999999999999,100.0,159.1611,157.5891,0,0
01/01/2020,501507,บ้านแหวน,5015,หางดง,50,เชียงใหม่,Forecastmon01,89.390594,0.2479,100.0,126.7844,126.5364,0,0
01/01/2020,501508,สันผักหวาน,5015,หางดง,50,เชียงใหม่,Forecastmon01,89.3906,0.41950000000000004,100.0,723.0773,722.6579,0,0
01/01/2020,501509,หนองควาย,5015,หางดง,50,เชียงใหม่,Forecastmon01,90.5515,0.13090000000000002,100.0,386.3668,386.2359,0,0
01/01/2020,501510,บ้านปง,5015,หางดง,50,เชียงใหม่,Forecastmon01,92.099396,0.034999999999999996,100.0,232.5856,232.5505,0,0
01/01/2020,501511,น้ำแพร่,5015,หางดง,50,เชียงใหม่,Forecastmon01,94.03425,0.3888,100.0,253.9056,253.5166,0,0
01/01/2020,501601,หางดง,5016,ฮอด,50,เชียงใหม่,Forecastmon01,87.80884,24.7302,100.0,670.0131,645.2827000000001,0,0
01/01/2020,501602,ฮอด,5016,ฮอด,50,เชียงใหม่,Forecastmon01,92.87333,0.15530000000000002,100.0,255.0982,254.943,0,0
01/01/2020,501603,บ้านตาล,5016,ฮอด,50,เชียงใหม่,Forecastmon01,86.14002,222.61769999999999,100.0,594.8382,372.2206,0,0
01/01/2020,501604,บ่อหลวง,5016,ฮอด,50,เชียงใหม่,Forecastmon01,87.86688,68.6304,100.0,564.9181,496.28779999999995,0,0
01/01/2020,501606,นาคอเรือ,5016,ฮอด,50,เชียงใหม่,Forecastmon01,87.51525,4.5903,100.0,286.60429999999997,282.0142,0,0
01/01/2020,501701,ดอยเต่า,5017,ดอยเต่า,50,เชียงใหม่,Forecastmon01,97.517,0.2059,100.0,78.6086,78.4027,0,0
