DateSim,Amphoe_ID,Amphoe,Province_ID,Province,DateForecast,Rainfall,Watersupply,Reservoir,WaterDemand,WaterBalance,DroughtIndex,RunoffIndex
01/01/2021,5017,ดอยเต่า,50,เชียงใหม่,Forecastmon13,372.71262,35126.2795,100.0,51444.2154,16317.935200000002,3,3
01/01/2021,5018,อมก๋อย,50,เชียงใหม่,Forecastmon13,398.6256,1707.7555000000002,100.0,45539.5311,43831.7758,3,3
01/01/2021,5019,สารภี,50,เชียงใหม่,Forecastmon13,380.02335,2300.5711,100.0,56675.6068,54375.0355,0,3
01/01/2021,5020,เวียงแหง,50,เชียงใหม่,Forecastmon13,426.872,4.8137,100.0,3214.6853,3209.8715,0,3
01/01/2021,5021,ไชยปราการ,50,เชียงใหม่,Forecastmon13,426.872,0.4548,100.0,570.6133,570.1584,0,3
01/01/2021,5022,แม่วาง,50,เชียงใหม่,Forecastmon13,367.21158,539.4053,100.0,23324.6403,22785.2353,3,3
01/01/2021,5023,แม่ออน,50,เชียงใหม่,Forecastmon13,400.34497,81.26729999999999,100.0,38264.2867,38183.0193,0,3
01/01/2021,5024,ดอยหล่อ,50,เชียงใหม่,Forecastmon13,394.41684,1931.9751999999999,100.0,28081.1809,26149.2062,3,3
01/01/2021,5025,กัลยาณิวัฒนา,50,เชียงใหม่,Forecastmon13,418.2329,29.403100000000002,100.0,18303.0232,18273.6198,3,3
01/01/2021,5101,เมืองลำพูน,51,ลำพูน,Forecastmon13,368.14075,1770.8933,100.0,101212.2466,99441.3537,3,3
01/01/2021,5102,แม่ทา,51,ลำพูน,Forecastmon13,420.94324,3.3228,100.0,9201.2428,9197.920100000001,0,3
01/01/2021,5103,บ้านโฮ่ง,51,ลำพูน,Forecastmon13,372.80154,2493.4575000000004,100.0,21087.8996,18594.442,3,3
01/01/2021,5104,ลี้,51,ลำพูน,Forecastmon13,375.24222,20013.5715,100.0,58979.6624,38966.0906,3,3
01/01/2021,5105,ทุ่งหัวช้าง,51,ลำพูน,Forecastmon13,426.87198,6.745000000000001,100.0,9883.1352,9876.3901,3,3
01/01/2021,5106,ป่าซาง,51,ลำพูน,Forecastmon13,390.41,4167.7338,100.0,37184.240399999995,33016.50659999999,3,3
