DateSim,Province_ID,Province,DateForecast,Daily_Rainfall,Watersupply,Reservoir,WaterDemand,WaterBalance,DroughtIndex,RunoffIndex
01/08/2023,50,เชียงใหม่,Forecastmon44,0.0,2871.3426999999997,100.0,81165.50600000001,78294.1632,3,0
01/08/2023,51,ลำพูน,Forecastmon44,0.0,1293.0753,100.0,20946.0609,19652.985,3,0
01/08/2023,58,แม่ฮ่องสอน,Forecastmon44,0.0,1.3859000000000001,100.0,111.63889999999999,110.2529,0,0
01/08/2023,62,กำแพงเพชร,Forecastmon44,0.0,631.7641,100.0,2014.893,1383.1286999999998,3,0
01/08/2023,63,ตาก,Forecastmon44,0.0,3511.8263,100.0,10389.592200000001,6877.7661,3,0
01/08/2024,50,เชียงใหม่,Forecastmon56,0.0,5539.165,100.0,111599.7396,106060.5766,3,0
01/08/2024,51,ลำพูน,Forecastmon56,0.0,2431.8827,100.0,28482.5785,26050.6959,3,0
01/08/2024,58,แม่ฮ่องสอน,Forecastmon56,0.0,2.0824000000000003,100.0,163.213,161.13049999999998,3,0
01/08/2024,62,กำแพงเพชร,Forecastmon56,0.0,1057.4532,100.0,2739.8472999999994,1682.3939,3,0
01/08/2024,63,ตาก,Forecastmon56,0.0,6446.186999999999,100.0,14193.2157,7747.028899999999,3,0
01/09/2020,50,เชียงใหม่,Forecastmon09,0.0,26053.9943,100.0,62804.9547,36750.962,3,2
01/09/2020,51,ลำพูน,Forecastmon09,0.0,11260.823199999999,100.0,16173.438,4912.6145,3,1
01/09/2020,58,แม่ฮ่องสอน,Forecastmon09,0.0,8.3921,100.0,85.7485,77.3562,3,0
01/09/2020,62,กำแพงเพชร,Forecastmon09,0.0,4681.1965,100.0,1553.7026999999998,-3127.4938,3,1
01/09/2020,63,ตาก,Forecastmon09,0.0,30177.4079,100.0,8020.7818,-22156.625500000002,3,1
01/09/2021,50,เชียงใหม่,Forecastmon21,0.0,23245.7896,100.0,90642.6349,67396.84360000001,3,2
01/09/2021,51,ลำพูน,Forecastmon21,0.0,9621.6474,100.0,23377.3103,13755.662,3,1
01/09/2021,58,แม่ฮ่องสอน,Forecastmon21,0.0,8.3388,100.0,127.19569999999999,118.85679999999999,3,0
01/09/2021,62,กำแพงเพชร,Forecastmon21,0.0,2855.1391999999996,100.0,2257.4476,-597.6914999999999,3,1
01/09/2021,63,ตาก,Forecastmon21,0.0,21025.156499999997,100.0,11655.553100000001,-9369.603500000001,3,1
01/09/2022,50,เชียงใหม่,Forecastmon33,0.0,10069.9706,100.0,30679.2128,20609.2439,3,0
01/09/2022,51,ลำพูน,Forecastmon33,0.0,4153.0401,100.0,8076.7215,3923.6814999999997,3,0
01/09/2022,58,แม่ฮ่องสอน,Forecastmon33,0.0,3.8339,100.0,39.4141,35.580200000000005,3,0
01/09/2022,62,กำแพงเพชร,Forecastmon33,0.0,1244.9488000000001,100.0,790.6684,-454.28029999999995,3,0
01/09/2022,63,ตาก,Forecastmon33,0.0,9169.4466,100.0,4050.7689,-5118.6777,3,0
01/09/2023,50,เชียงใหม่,Forecastmon45,0.0,3581.1589000000004,100.0,46774.9536,43193.7929,3,0
01/09/2023,51,ลำพูน,Forecastmon45,0.0,1412.5911,100.0,12131.3198,10718.7287,3,0
01/09/2023,58,แม่ฮ่องสอน,Forecastmon45,0.0,1.7373,100.0,62.5798,60.8425,3,0
01/09/2023,62,กำแพงเพชร,Forecastmon45,0.0,232.6256,100.0,1175.2298,942.6039999999999,3,0
01/09/2023,63,ตาก,Forecastmon45,0.0,1976.4008,100.0,6031.2162,4054.8152,3,0
01/09/2024,50,เชียงใหม่,Forecastmon57,0.0,15878.3264,100.0,38904.4229,23026.0968,3,2
01/09/2024,51,ลำพูน,Forecastmon57,0.0,6238.1076,100.0,10119.7792,3881.6719,3,2
01/09/2024,58,แม่ฮ่องสอน,Forecastmon57,0.0,7.3355999999999995,100.0,50.944,43.6084,3,0
01/09/2024,62,กำแพงเพชร,Forecastmon57,0.0,1370.0378999999998,100.0,976.6894,-393.3484000000001,3,0
01/09/2024,63,ตาก,Forecastmon57,0.0,11016.093,100.0,5016.1228,-5999.9704,3,1
01/10/2020,50,เชียงใหม่,Forecastmon10,0.0,29803.4109,100.0,77858.6072,48055.1963,3,2
01/10/2020,51,ลำพูน,Forecastmon10,0.0,12759.269199999999,100.0,20037.5229,7278.254000000001,3,1
01/10/2020,58,แม่ฮ่องสอน,Forecastmon10,0.0,9.9227,100.0,105.6635,95.7406,3,1
